gene,A_S08,A_S10,A_S06,A_S07,A_S09,A_S11,A_S12,A_S13,A_S14,A_S15,B_S08,B_S10,B_S06,B_S07,B_S09,B_S11,B_S12,B_S13,B_S14,B_S15,D_S08,D_S10,D_S06,D_S07,D_S09,D_S11,D_S12,D_S13,D_S14,D_S15,E_S08,E_S10,E_S06,E_S07,E_S09,E_S11,E_S12,E_S13,E_S14,E_S15
KIF20A,-6.138275223281405,-4.75634503730119,-5.9892835196638075,-4.585290989521744,-5.1788560049098065,-5.271949763540797,-3.58564224344164,-6.704629199540524,-6.228484068249825,-5.446001458454721,-3.424845186827096,-4.145846864052551,-4.8755654258585865,-4.832615768062184,-5.333143495018577,-5.15798517224892,-3.290501970553789,-6.4941996496947025,-6.535684480584866,-5.024637417662812,-3.6355645398388843,-4.564239741599799,-4.981508133835588,-4.3304821390191455,-4.913884438095456,-0.9141062417054564,-4.11335941374391,-6.500857218446901,-5.707097172164085,-4.955171193670242,-3.392283270137741,-4.641093090609681,-4.595384164761652,-4.080997480655735,-5.229044057717713,-4.420475113734048,-3.271527745155147,-6.1310319733101455,-6.839134319930458,0.12297908747951793
KRT14,-4.553312722560249,-8.786092380695242,-4.9892835196638075,-6.552124125586545,-6.323245914244981,-2.409453287290732,-6.111711055109228,-7.28959170026168,-9.102953186165967,-8.55452591523289,-4.076921883406789,-7.572111618754649,-5.274114802348861,-6.195185847446893,-6.59617790085237,-2.141176884562366,-5.754449070313579,-7.204693032499717,-7.798718886418659,-6.963236872998669,-4.22052704056004,-6.812167255043384,-4.981508133835588,-5.993447151741575,-6.252686351547215,-0.32914374098430027,-3.2983282954106725,-6.970342501748122,-6.913548049631511,-7.017455471924585,-2.5622082715800536,-5.351586473414696,-4.726628698039904,-5.611512197354514,-5.42168913566011,-2.946543925401635,-5.697792499857245,-6.2134941335021185,-5.932243724321939,-1.074757594022101
LINC02593,-2.9683502218390925,-2.1861795385081146,-0.450124708555776,-5.011555744223842,-0.2846156660806091,-4.658132400147456,-6.755567244883952,-5.250063336075043,-3.2532874592503984,-3.2877393745379884,-2.7968139642140537,-2.5721116187546484,-1.0056259664229594,-5.195185847446893,-0.8386212119129179,-4.731720417546822,-7.027467564719995,-5.619730531778561,-3.491290361226412,-3.6253672342422854,-2.9981346192235927,-2.2575784033657467,-0.9416436729576477,-4.534015533104277,-0.59027976540071,0.08589375829454357,-5.312003232307749,-4.915894717725745,-3.328585548910355,-3.3838191244677387,-2.392283270137741,-2.2260555913308373,-0.9143749765694612,-4.459509103909465,-0.7133442194336709,-4.620773764219879,-5.282755000578401,-4.87469222005036,-3.26927871159951,-0.1769967893796641
MDM4,-1.0938811039229515,-0.05138276046940425,-0.19014910441117172,0.4220296969266521,0.021283609579513866,-0.7598378282273227,-0.6935211071634618,-1.0374519355311806,-1.1801210466884267,-1.6105460008891512,-0.5804960572872903,-0.013690905485984261,-0.25984067136674327,0.6103277277865444,0.07907348519788822,-0.680226905805032,-0.6452038066051575,-1.1249658400289835,-1.0545577908482495,-1.6135256215977685,-0.8985989456726781,-0.3283514777791277,-0.2677364854596139,0.32998296831101986,0.015201903627258519,-0.5921781468180941,-0.7356538618913009,-1.2134013408166786,-1.1101620297768524,-1.8785061203861382,-0.7808485580553938,-0.10711451860732976,-0.18230818181609407,0.6151675823850317,0.25879597610533805,-0.7680948516527843,-0.7533244464322502,-1.1136049015519616,-1.1491363485110124,-0.07454397218993608
MMP9,-0.43783550514031266,-9.371054881416399,-5.126787043413742,-4.519702647894167,-2.3617200620596166,-4.146418881456938,-5.8486766492754345,-2.4015249789448174,-5.196062590557448,-6.1969739106148065,-1.6748234398354434,-7.572111618754649,-6.033106702845067,-5.002540769504496,-3.5605539911216497,-5.403097670085452,-6.220112642662391,-3.425719911811936,-5.420207263164929,-6.740844451662221,-0.8282096177812803,-7.812167255043384,-5.75202628771282,-4.720428657335159,-2.897205696948826,-0.9141062417054564,-5.651209318626947,-2.593966622838383,-5.707097172164085,-6.519955812453768,-1.0076194199024162,-7.00366316999439,-5.659514502181367,-4.7814371987968265,-3.206676244689259,-5.087899774647177,-6.4754000785207975,-2.493602052694854,-5.5912068064868725,0.034890344996450266
MUTYH,-4.3309203012238005,-3.6295878950152516,-2.886472714080032,-3.6717057413392173,-3.1117418090512694,-4.643918540927755,-4.200978393206316,-3.928135241187681,-3.7930979235791793,-4.145134979095188,-3.183837087323301,-3.5721116187546484,-2.6567308239353276,-3.119897720142655,-2.9755914904004936,-4.76566774947016,-4.272580062556527,-3.598035460679242,-3.58148817019799,-3.885234360997396,-4.483561446393835,-4.514486706402699,-3.517561034075797,-4.152144897760633,-4.0182210979101916,-0.9141062417054564,-5.0955114124109855,-4.295742788542289,-4.659791457385728,-5.150722002788049,-3.7548533495224494,-3.953037096924421,-3.3115911987610605,-4.19647469807567,-3.3221534621091946,-5.175362615897516,-4.073301634949451,-3.9611069718678333,-4.669209318488146,-0.8187905126974963
MYBL1,-4.816347128394042,-4.221307761911716,-4.720794683737905,-2.04001219027307,-3.008931003467494,-3.6510079657140744,-2.5608103904617048,-0.6938162140528921,-4.498091128007106,-4.1969739106148065,-4.884276805464394,-5.324184105311063,-4.8755654258585865,-2.274620314941297,-3.5087150596020313,-4.2753421228870785,-3.3086493172640483,-1.2956181896293233,-4.835244762443773,-4.811233779553619,-4.22052704056004,-5.267846738819574,-4.83948912896316,-2.160557137576833,-3.4212859555229596,-0.32914374098430027,-3.3573637657076247,-1.0690114314815038,-4.9415624258011075,-4.934993311732612,-5.562208271580054,-5.28745613599498,-4.9490211193763525,-2.0535167442336277,-3.447684344193054,-3.8715818677204132,-2.9429049976937764,-0.8272512251330429,-4.794740200572004,0.41794505521343106
PGK1,2.408619236606232,2.0150770558985953,2.1360125296628163,3.128315318988645,2.170504217257291,2.570210074783484,2.902867409813664,1.568216548048839,1.7448871694647463,2.12363404230987,1.9262948292767537,1.9906078082946708,2.015904044583757,3.037063748449262,1.9940348605559879,2.5042381330689203,2.930843473008652,1.4283021646432401,1.6004522074011631,2.070950713347015,1.7757110406437604,1.6622147050598848,1.8513818803291544,2.841813766885914,1.8576818052146427,-0.10675131964785232,2.369553121415875,1.1918551376695798,1.387772260554613,1.821933597754954,2.356654965694541,2.219649044194948,2.2242395946292164,3.259879717032618,2.2950078610001095,2.738648712643738,3.159410971650921,1.7210639948938982,1.9479520046211591,-1.7357122535552711
PGR,-1.1159074102529505,-0.4641642858078802,-0.7327531480459606,-0.7447692035289406,0.48275245384253823,-1.4200114789893088,-3.05512752674286,-2.601535706576421,-3.6218264964293505,-2.779738855631716,-1.8842768054643932,-0.9647813050050378,-1.1188365768709503,-1.0138560827323304,-0.09952381825887492,-1.6782049082198203,-3.514397982480624,-3.1095357994593775,-3.97089986180134,-3.184794642856304,-1.6355645398388845,-1.0819801935082398,-1.1706041446969124,-1.0825546255755596,-0.1980421354950041,0.6708562590156998,-2.6841740819747333,-3.1316234087811825,-4.204596831634901,-3.2407321685206436,-1.0386463155230405,-0.8832401299696512,-1.3573948883741853,-1.2976214215325703,-0.1549025949652078,-1.9274351024539307,-3.6533983804987913,-2.87469222005036,-3.8167665069020034,0.09276792395386496
PIM1,-2.0089922063364383,-3.7711420392292707,-3.239261772672155,-0.8316466542089075,-3.295049022414329,-0.6029573679622207,-3.398015240265869,-0.9039689300569288,-3.9197313621101966,-2.6903397705786096,-2.2404206156896684,-3.3822870598746313,-2.952186707461499,-0.6231624024332343,-3.02328823243179,-0.40309767008545155,-2.72978701607931,-0.5194664083051325,-3.5660581296283844,-2.25051882507914,-1.7180267000308573,-2.7247044137930447,-2.3159271729061466,-0.12308243215816989,-2.3177813797690994,0.2558187597368558,-0.9105547977768603,0.08660778947742492,-2.8326280542479436,-1.609063286287753,-0.889782929608558,-2.4534660874339096,-2.5339836200975085,0.07964970719856695,-2.3342262944097696,0.4161597306732187,-2.249331999040951,0.22358474028339098,-2.6692093184881456,-0.09774559022720955
SPOP,-1.8903477098378194,-1.191145791401464,-0.4319068506145508,-1.172351956126898,-0.10662767735462717,-0.7713794501100135,-0.6982523671012489,-0.6938162140528921,-0.5859400159378919,-0.5481998367079558,-1.5623487105770308,-1.060358964987269,-0.24973064372190218,-0.9097836285846438,-0.018749072816622123,-0.6541594342531695,-0.5735110761488488,-0.5687276283444583,-0.40468499105087763,-0.43880398721952957,-1.9981346192235927,-1.6692093012013411,-0.8423096480255382,-1.454288340633543,-0.5489863042425358,1.0858937582945436,-1.21487405646393,-1.0690114314815038,-1.0748289566645717,-1.040175548424668,-1.2046562669619698,-1.3556908717474325,-0.4536102036334884,-1.4151149845510111,-0.31915097394767133,-1.0230777735909342,-0.8797429770034043,-0.9086395519736978,-0.7437372971379012,-0.41831764117519277
TAGLN,1.6232760091630745,-1.6363452611905605,2.1694409094773537,2.2907975822073605,2.9231821758442784,3.1715589409501805,0.948336328560711,2.60058811725404,2.2279636919486503,3.781841166156906,0.9922401411006064,-1.979654581486568,1.6051899615877576,1.7048183625763864,2.2655293857334855,2.738725643477195,0.5531050759367728,2.102611288392949,1.7462455463705777,3.3355258004118093,1.529900813412728,-1.3859025003412861,2.1594538224799256,2.162635924547107,2.8280528134397147,0.4078218531819059,2.126511418801528,2.6825024712538577,2.2361990698731713,3.941523634832388,1.192679230583415,-1.5118100736647146,2.282466757895513,2.3007118425570448,3.027459509715327,3.3669438066850743,1.1560368519998598,2.8020029111576656,2.3848673542676475,0.9114774332623538
TMEM30B,3.2942666771068536,2.6335167337512577,1.5420979408525048,0.2645686610503954,4.156534349784119,1.34052784271473,-1.135347419376466,2.071255383917984,1.7296731534954568,2.0125983274272534,2.510185889145924,1.9877434227589765,0.8635750078034099,-0.25434791991503614,3.4133708261198863,0.6573981235646185,-1.7328468158283679,1.3623987913827509,1.044888160071902,1.3201087595696417,2.3289367789397293,2.0196677718415197,0.935297930638014,-0.5312857403487048,3.616408469772968,-2.9141062417054564,-0.13826661691541764,1.4681294982535293,1.1873164182764195,1.4149636093225035,2.8214960208939988,2.3428505631712464,1.2253497870971524,-0.046727578570988644,3.800070587751326,1.0144619429825013,-1.4818551006580964,1.7134122674826784,1.3974778802852936,0.5427007600259758
USF1,-2.7459578005026444,-2.241771864471432,-1.993387917996544,-1.43790855673052,-2.083333393865515,-3.2939760698707965,-3.23986740659991,-2.90876991632075,-3.1104868588513743,-2.9070674887779693,-2.7968139642140537,-2.677293855446705,-2.4761585782935067,-2.373184149424887,-2.6607181530470814,-3.5580723300617922,-3.53561446839032,-3.425719911811936,-3.2017837440314274,-3.0724659427534275,-1.8054895412811969,-1.8972838686813347,-1.811583132393275,-1.2519801653404274,-2.0640247875233166,0.8932486803521477,-3.1044078128993817,-2.441963529393333,-2.5860817712027186,-2.380404460054974,-1.474745430329714,-1.2679862717967556,-1.267197079402607,-0.7984436241025168,-1.460859732940787,-2.286619366999257,-2.0253671578857495,-1.9346347605066423,-1.9811533248028859,-0.6138312863905687
