y,ARID1B,CCL21,CCN1,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,LINC02593,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1
0.3023097222850008,-0.561904,-6.080229,3.001476,-4.272874,-6.665192,-4.141630,-2.937271,-2.937271,-2.065279,-4.758301,-3.205760,-0.916999,-6.343264,-4.021336,-2.290152,-7.080229,0.850508,1.154987,3.598371,-3.758301,-5.665192,-3.665192,-0.389067,0.177159,-4.577729,-2.832302,-3.238927,2.870570,-2.307640,-1.281487,-0.764325,1.358563,-4.141630,-2.343264
0.5174350064553013,-1.136925,-5.011394,1.104083,-3.789001,-4.596356,-0.763466,-4.274428,-3.789001,-1.689466,-2.895917,-0.923931,0.613097,-3.274428,-1.104503,-1.642160,-5.011394,-1.274428,-0.530267,4.600246,-5.596356,-2.011394,-5.011394,-2.426431,-1.072794,-4.274428,-3.426431,-3.789001,1.548302,-4.596356,1.711983,-2.789001,-3.136925,-4.011394,-2.596356
1.0,-1.470447,-5.674319,-0.257672,-4.159746,-6.896712,-0.989821,-3.726787,-1.586856,-2.989821,-2.809249,-0.110987,4.116378,-6.159746,-2.394211,-2.837818,-4.481674,-1.586856,0.551749,5.250917,-3.781234,-1.881761,-5.481674,-4.574783,0.022152,-0.720123,-3.958112,-4.781234,3.467788,-5.896712,1.894451,-1.527478,2.418438,-3.837818,-2.623693
0.7987537737720147,-0.943894,-6.738310,1.717017,-3.831419,-5.416382,-1.715942,-4.037870,-5.153347,-0.693916,-3.490382,-1.328919,5.229637,-5.738310,-2.037870,-2.312045,-4.416382,0.156508,1.156508,0.436616,-3.153347,-2.452908,-4.738310,-3.094454,0.009883,-2.738310,-3.153347,-4.738310,3.167077,-3.490382,0.284058,-0.930955,-0.629785,0.192427,-2.278878
0.3474577690195539,-0.575691,-5.496937,2.444404,-1.005084,-3.496937,-1.561478,-2.936222,-3.864669,-2.752776,-4.496937,-2.985975,0.042222,-3.864669,-4.731403,-2.090945,-4.648940,0.985266,2.166265,4.070829,-2.024449,-5.648940,-5.648940,-1.629041,0.512052,-5.648940,-2.443826,-5.818865,2.199335,-1.830181,-2.311071,-0.705123,1.931004,0.710565,-2.264276
0.2549186950289432,-1.037140,-5.496571,1.058018,-1.174643,-5.081534,-2.759606,-4.622102,-3.557972,-2.622102,-4.496571,-3.833606,1.208485,-6.081534,-3.689216,-1.872080,-6.081534,-1.452177,2.907861,1.394200,-1.211169,-4.759606,-3.081534,-1.931787,-0.395033,-5.759606,-2.689216,-5.496571,1.670010,-0.983502,-3.437678,-0.941982,1.312929,2.646387,-2.466824
0.1665161072588515,0.266932,-5.922893,1.772915,-2.700501,-4.337930,-1.530576,-1.337930,-2.185927,-1.358108,-5.185927,-3.700501,-0.168005,-3.700501,-4.337930,-2.700501,-5.922893,1.772915,2.846394,6.682046,0.558234,-4.337930,-5.922893,-0.793610,-0.250468,-5.185927,-2.752968,-4.922893,2.946444,-1.953267,-2.185927,-0.388914,0.015707,3.087402,-3.337930
0.3493598815519873,-0.738963,-7.888711,-0.089969,-1.560784,-7.151745,-2.216285,-2.116121,-3.451305,-1.344390,-3.133823,-0.922926,1.758748,-4.615692,-3.133823,-3.169892,-6.303748,2.702812,1.841477,4.020683,-1.197549,-3.303748,-3.640783,-2.773233,-0.020402,-6.303748,-4.014241,-3.981820,2.545918,-0.855288,-1.997940,-1.107351,1.366318,0.517849,-2.640783
0.3517959035795664,-1.291577,-5.395914,0.100208,-0.554612,-6.302804,-3.547917,-2.247522,-3.843373,-0.544581,-4.547917,-2.432440,1.221737,-4.779242,-4.258410,-3.444823,-6.302804,0.531667,1.279338,6.044713,-3.258410,-5.054877,-6.132879,-2.132879,0.067883,-1.695474,-3.521445,-4.658948,2.695433,-3.017402,-2.432440,-0.677096,-0.619810,0.855805,-2.688095
0.290863156339937,-0.731746,-6.296531,2.759655,-2.100134,-2.455229,-5.074139,-3.237637,-2.927297,-2.100134,-4.181054,-2.596091,0.710964,-4.881493,-5.074139,-1.011129,-5.559565,-0.881493,0.916168,2.304621,-1.326905,-5.296531,-5.074139,-2.794031,-0.365794,-6.296531,-3.181054,-4.422062,1.863340,-3.711568,-1.048603,-1.140027,2.656695,-1.859126,-2.794031
0.3038733423748477,-0.411574,-6.820965,2.192497,-2.066077,-5.972968,-3.142893,-2.557931,-4.894966,-1.242026,-5.236002,-3.557931,1.498256,-4.236002,-4.335538,-2.683461,-6.335538,-0.142893,1.506363,3.213284,-2.972968,-5.055430,-7.142893,-1.659077,0.289649,-6.557931,-2.699950,-5.236002,1.489193,-1.876107,-4.236002,-0.316345,1.210254,2.294859,-2.513536
0.3291933816012402,-0.492640,-5.796421,3.170084,-3.336990,-4.336990,-3.626496,-1.989066,-1.989066,-1.511019,-4.095982,-2.938440,3.933624,-6.211459,-3.404104,-1.181711,-4.474493,-0.877558,1.067765,7.012191,-1.181711,-3.989066,-6.211459,-4.474493,-0.719606,0.049069,-3.404104,-6.211459,1.809058,-3.796421,-0.257262,-1.511019,1.146093,-3.041534,-2.938440
0.6088026905852331,-1.434815,-6.434815,1.463030,-1.975384,-4.264890,-4.849853,-4.434815,-2.077263,-2.149413,-3.975384,-3.434815,1.008128,-4.627460,-2.734376,-1.790959,-4.434815,-0.305532,0.478074,0.974576,-2.975384,-3.434815,-4.627460,-1.576834,0.699611,-6.434815,-3.434815,-5.849853,1.539599,-0.991872,-2.434815,-1.059776,1.655297,0.750060,-1.942962
0.5651741125171692,-0.392314,-5.209937,3.726701,-1.402582,-4.946903,-3.724510,-2.776978,-2.487471,-0.509497,-4.946903,-3.209937,2.413579,-4.209937,-3.831425,-3.209937,-6.531865,1.122771,1.392947,2.555598,-4.209937,-4.361940,-5.946903,-1.577669,-0.476583,-4.946903,-3.283938,-5.531865,2.273879,-2.040012,-3.361940,-0.624975,0.022724,0.864740,-1.859440
0.1649567202787585,-0.230598,-5.452991,3.156804,-1.611688,-3.868028,-3.452991,-2.950490,-1.365528,-2.394097,-4.452991,-3.868028,2.020039,-4.037953,-4.230598,-1.950490,-5.452991,1.520468,1.279459,3.292964,-1.790026,-4.452991,-3.868028,-0.971864,-0.662914,-1.790026,-2.790026,-4.716025,1.520468,-3.578522,-1.015585,-1.060673,2.369315,1.913332,-1.950490
0.6380788539688773,-1.121103,-7.487425,3.224672,-0.358142,-5.487425,-5.487425,-2.932836,-4.239498,-0.394668,-4.487425,-1.277972,1.882172,-4.786985,-4.487425,-1.773180,-3.580535,1.114346,0.891953,-1.192804,-3.680070,-5.487425,-6.487425,-2.932836,-0.268257,-5.902463,-3.580535,-5.165497,2.149199,1.086222,0.455089,-0.604782,1.154626,2.351779,-2.443031
0.1973523896411382,-0.615674,-6.522564,1.425803,-1.822124,-3.385061,-2.961849,-4.674567,-4.674567,-4.452175,-4.320930,-4.037137,-1.305333,-5.144052,-4.385061,-2.024313,-5.522564,1.587005,1.756350,0.384326,-2.368759,-5.844492,-6.259530,-0.816586,-0.050076,-5.259530,-2.890296,-5.259530,1.563838,-0.430864,-3.063132,-0.699834,1.639324,3.921623,-2.674567
